t_uid,mr_id,tstamp,anomalous,expected,max,min,value
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 23:25:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,54852.800000000003
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 23:30:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,54421.533333333333
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 23:35:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,53680.666666666664
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 23:40:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,54543.26666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 23:45:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,53597.071428571428
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 23:50:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,56485.333333333336
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 23:55:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,54919.666666666664
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 00:00:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,53226.933333333334
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 00:05:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,53826.400000000001
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 00:10:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,56564.444444444445
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 00:15:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55131.400000000001
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 00:20:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,54163.066666666666
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 00:25:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,53762.400000000001
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 00:30:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,54982.785714285717
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 00:35:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54573.400000000001
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 00:40:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54532
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 00:45:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55035.866666666669
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 00:50:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55180.727272727272
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 00:55:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,53648.384615384617
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 01:00:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,54697.066666666666
